Time,Violation,TrackID,Plate,Lat,Lon
2026-04-21 10:25:29,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:30,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:30,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:31,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:31,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:32,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:32,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:33,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:33,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:34,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:34,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:34,No Helmet,5,outputs/images/violation_5.jpg,30.3398,76.3869
2026-04-21 10:25:34,No Helmet,7,outputs/images/violation_7.jpg,30.3398,76.3869
2026-04-21 10:25:35,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:35,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:36,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:36,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:37,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:37,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:38,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:38,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:39,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:39,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:39,No Helmet,12,outputs/images/violation_12.jpg,30.3398,76.3869
2026-04-21 10:25:40,No Helmet,13,outputs/images/violation_13.jpg,30.3398,76.3869
2026-04-21 10:25:40,No Helmet,14,outputs/images/violation_14.jpg,30.3398,76.3869
2026-04-21 10:25:40,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:40,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:40,No Helmet,12,outputs/images/violation_12.jpg,30.3398,76.3869
2026-04-21 10:25:41,No Helmet,0,outputs/images/violation_0.jpg,30.3398,76.3869
2026-04-21 10:25:41,No Helmet,1,outputs/images/violation_1.jpg,30.3398,76.3869
2026-04-21 10:25:41,No Helmet,12,outputs/images/violation_12.jpg,30.3398,76.3869
2026-04-21 10:25:42,No Helmet,11,outputs/images/violation_11.jpg,30.3398,76.3869
